,topic,tweet_volume
0,Madrid,479990.0
1,Nigeria,294857.0
2,WhatsApp,288329.0
3,Queen,281004.0
4,Lisa,278009.0
5,Chelsea,232752.0
6,taylor,160701.0
7,Canada,156320.0
8,Shame,141407.0
9,١٥ رمضان,137103.0
10,Centre,133387.0
11,Australia,119900.0
12,billie,118732.0
13,Correct,118062.0
14,Bengal,81494.0
15,felix,64411.0
16,IPOB,62444.0
17,xiao,49996.0
18,Ma'am,48388.0
19,Drake,41562.0
20,Selena,39401.0
21,Iftar,38234.0
22,مدريد,26140.0
23,#RCBvsDC,23867.0
24,Sheesh,17732.0
25,الهند,16502.0
26,تشيلسي,14859.0
27,Inshallah,13660.0
28,صالح الاعمال,11100.0
29,#ملوك_الجدعنه,
30,#جامعه_زايد,
31,#حمدان_بن_راشد,
32,Masha Allah,
33,الريال,
34,زيدان,
35,حسن الحياه,
36,الشارقة,
37,ابوظبي,
38,The UAE,
