,topic,tweet_volume
0,Daddy,241535.0
1,Chelsea,232029.0
2,Holy,144001.0
3,Islam,91554.0
4,Church,80790.0
5,Scam,60523.0
6,#AnticipateTheWig,55796.0
7,Relax,53123.0
8,#RMACHE,51095.0
9,WATCH OUT FOR ERICA,48452.0
10,Ghana,41325.0
11,Hazard,39752.0
12,Pastor,39684.0
13,Marcelo,39154.0
14,I Dey,36140.0
15,BUY EVERYTHING TACHA,34228.0
16,Blues,33423.0
17,Benzema,32131.0
18,Abeg,28347.0
19,Kante,24380.0
20,Vini,20511.0
21,Zidane,18409.0
22,Tuchel,16886.0
23,Werner,16662.0
24,Sani,14696.0
25,Christianity,14553.0
26,Casemiro,14131.0
27,Burna,11055.0
28,Varane,11013.0
29,Kroos,10567.0
30,#PureDrive,
31,#TheDrYve,
32,Nana Agradaa,
33,Lighthouse,
34,Evangelist,
35,#FormulaOne,
36,Azpi,
37,Sika,
38,Vaseline,
39,Reece James,
40,Sheldon,
41,Mason Mount,
42,Modric,
43,SSNIT,
44,Mendy,
45,kissi agyebeng,
46,Bucharest,
47,Ziyech,
48,Benin,
49,Free SHS,
