,topic,tweet_volume
0,Iran,212510.0
1,MucizeDoktor ÜçüncüSezon,92992.0
2,#alkolümedokunma,91127.0
3,Real Madrid - Chelsea,82638.0
4,KING JIMIN,70632.0
5,BirKıvılcımYeter ZehSer,52851.0
6,TamKapanmaVar AFnedenYok,35665.0
7,Rize,26719.0
8,Mansur Yavaş,25881.0
9,Kaydettim,24700.0
10,stok,23563.0
11,Şeriat,23506.0
12,Ramazan'da,22516.0
13,Devlet Bahçeli,18980.0
14,Tekel,17640.0
15,SANA NE,15636.0
16,Yönetim Kurulu,13622.0
17,Rakı,10259.0
18,#JokerBitigenGörevde,10044.0
19,#1970ruhuyla,
20,#CHPNedenSessiz,
21,HaritaMuheOnay SayınRTE,
22,VUK359yasa MecliseGelsin,
23,TypToplum Zararına,
24,#CezaNeredePFDK,
25,YetimGülerse DünyaGüler,
26,Grup Yorum,
27,AdnanBey Olmayınca,
28,Mısra,
29,ÜçÇocuk AnnesizKalmasın,
30,Halil Uluer,
31,SnRTEALES Ertelenmedi,
32,Bülent Uygun,
33,Ömer Hayyam,
34,Güvencesiz Meslek,
35,Ziya Paşa,
36,Volkan Demirel,
37,Bugün 15 Ramazan,
38,dilan ekin,
39,Mithat Tekin,
40,camiye,
41,İsmail Uygur,
42,Pudra,
43,Ömer Çelik,
44,Türk Lirası,
45,Kenan Işık,
46,Hatayspor,
47,Enner Valencia,
48,Neyzen Tevfik,
49,Şahika,
