,topic,tweet_volume
0,#방탄소년단,925450.0
1,#BTS_Butter,851892.0
2,Chelsea,257402.0
3,Pfizer,244136.0
4,El 27,168028.0
5,Real Madrid,162759.0
6,billie,124291.0
7,jeonghan,123432.0
8,Wonpil,113079.0
9,un 27,91289.0
10,Anvisa,78716.0
11,SPOTIFY KING JIMIN,69074.0
12,shawn,52317.0
13,DO IT LIKE ITZY,47221.0
14,Provincia,42335.0
15,#animeselcaday,22404.0
16,Gabinete,21550.0
17,PERCY JACKSON,16587.0
18,Lázaro Báez,15397.0
19,Pagni,13324.0
20,La RAE,12473.0
21,Renunciar,11974.0
22,j balvin,11827.0
23,Cabak,11191.0
24,Ventura,10731.0
25,#NestorKirchner,
26,#Intrusos,
27,Costa Salguero,
28,Hace 18,
29,Barassi,
30,Asistente 1,
31,Busquets,
32,Espert,
33,CIBI,
34,Fassi,
35,Coloccini,
36,Sandez,
37,Casi Ángeles,
38,Cecilia Nicolini,
39,Laura Alonso,
40,Leandro Santoro,
41,Villarreal,
42,ANMAT,
43,Casa Rosada,
44,Obelisco,
45,Consejo del Salario,
46,Laurita,
47,troye,
48,Santiago Cafiero,
49,HOY JUEGA BOCA,
