,topic,tweet_volume
0,#BTSARMY,1119927.0
1,#방탄소년단,925450.0
2,#BTS_Butter,851892.0
3,I LOVE IT,353292.0
4,China,320483.0
5,Lisa,281554.0
6,Chelsea,256454.0
7,Tucker,225146.0
8,Iran,214948.0
9,Israel,187050.0
10,Real Madrid,162759.0
11,Binance,162706.0
12,Andrew,144216.0
13,Bear,141528.0
14,billie,124291.0
15,Kejriwal,116807.0
16,Wonpil,113079.0
17,Mario,109822.0
18,NFTs,109671.0
19,Nintendo,97412.0
20,Tony,80708.0
21,Xbox,74972.0
22,Charles,73844.0
23,Wondering,73443.0
24,Neymar,70295.0
25,nayeon,65412.0
26,Harry Potter,60255.0
27,taylor swift,56974.0
28,Kenya,54193.0
29,Paula,45706.0
30,Lewis,41968.0
31,May Allah,39200.0
32,Walmart,38726.0
33,Man City,25902.0
34,Alina,21688.0
35,Yessss,20321.0
36,Technically,18924.0
37,Seth,18200.0
38,Werner,18196.0
39,Somalia,17681.0
40,Armin,13393.0
41,#IStandWithMaya,13021.0
42,Scorpion,12288.0
43,#ChampionsLeague,10633.0
44,West Ham,
45,alan jones,
46,Aboriginal,
47,Christian Porter,
48,Carly,
49,Ooooh,
