,topic,tweet_volume
0,Biden,642218.0
1,Chelsea,212047.0
2,billie,116471.0
3,Bayern,114784.0
4,Congreso,93929.0
5,Este Gobierno,68597.0
6,Nagelsmann,67938.0
7,SPOTIFY KING JIMIN,67174.0
8,Natalia Bedoya,60259.0
9,Burkina Faso,50966.0
10,#LaReinaDelFlow2,42566.0
11,Marcelo,36561.0
12,Hoy 27,24099.0
13,Medellín,20912.0
14,Galatasaray,17310.0
15,Rolando,16919.0
16,Dane,15382.0
17,Desprecio,12649.0
18,Extorsión,10036.0
19,#VanessaPregúnteleAUribe,
20,#BebidasAzucaradasSon,
21,#NoALaReforma,
22,#MarcharEnPandemiaEs,
23,Daniel Galán,
24,Lalis,
25,Rohan Dennis,
26,ATP 250 de Múnich,
27,Ineos,
28,Cine Colombia,
29,Edson Velandia,
30,Adriana Lizcano,
31,caloto,
32,Juan Guillermo Bolívar,
33,Titiribí,
34,Gaviria,
35,Miguel Ángel López,
36,Turbay,
37,ESMAD,
38,Cúcuta,
39,Guarumo,
40,La DIAN,
41,Ley 100,
42,Falcao,
43,Atlético Mineiro,
44,Los Mártires,
45,Julián Román,
46,Quintero,
47,Miguelito,
48,Feid,
49,Macias,
