,topic,tweet_volume
0,#방탄소년단,900380.0
1,#BTS_Butter,823782.0
2,Soft,168981.0
3,Real Madrid,141556.0
4,STAY GOLD ON iHEART,116945.0
5,billie,115642.0
6,BREAKING NEWS,93202.0
7,#우리의봄_원필아_생일축하해,90644.0
8,#Our_Healer_PILDAY,81960.0
9,SPOTIFY KING JIMIN,67839.0
10,#BoringJalapeño_Day3,64514.0
11,#HAPPYWONPILDAY,52319.0
12,Maknae,52158.0
13,Munarman,51627.0
14,WOOZI,47954.0
15,DO IT LIKE ITZY,47117.0
16,Babi,39994.0
17,Papua,29324.0
18,Zahra,29221.0
19,Nasi,28607.0
20,D-29,26582.0
21,CHOI YEONJUN,23851.0
22,densus 88,20289.0
23,ISIS,19424.0
24,Sasuke,18726.0
25,youngk,16170.0
26,Tango,15005.0
27,HUANG RENJUN,14662.0
28,THANK YOU SEVENTEEN,14356.0
29,#ikatancintaep252,12971.0
30,jeon wonwoo,11651.0
31,Depok,10944.0
32,ABC Leci,10433.0
33,I LOVE YOU HYUNSUK,
34,Gen 2,
35,Gen 3,
36,Gen 4,
37,Petamburan,
38,PARK JISUNG,
39,Munaroh,
40,MUNARBOY,
41,Fadli Zon,
42,Bravo Polri,
43,nasgor,
44,Bias Wreckers,
45,Sandal,
46,Rezim,
47,Rizal,
48,#Selingkuh,
