,topic,tweet_volume
0,Covid,2778340.0
1,Chelsea,213008.0
2,billie,116713.0
3,wonpil,105730.0
4,Happier Than Ever,86142.0
5,Renan Calheiros,81886.0
6,CPI da Covid,81435.0
7,Anvisa,76391.0
8,EU FUI,62190.0
9,#FicaCamilla,61454.0
10,shawn,51456.0
11,SARINHA NO MAIS VOCE,49122.0
12,Willow,48457.0
13,Circo,27399.0
14,#PachecoTchutchucaDoSTF,26431.0
15,Guedes,24627.0
16,Guardiola,22933.0
17,Essa CPI,21172.0
18,Camille,16811.0
19,Euliette,16809.0
20,Flávio Bolsonaro,16455.0
21,Antalya,16240.0
22,Furia,14756.0
23,aaron taylor johnson,14522.0
24,Veneza,14057.0
25,draco,12714.0
26,Breaking Bad,10767.0
27,Camila de Lucas,10262.0
28,Mercado Livre,10012.0
29,#FechadoComOGalo,
30,#ForçaRafael,
31,#GabiDay,
32,ENTÃO FAZ O L,
33,Omar Aziz,
34,RITA CASTILLO,
35,Xerath,
36,AMOR DA MINHA VIDA NO SPOTIFY,
37,COLDPLAY IS COMING,
38,OMBRO,
39,HAPPY BDAY NEIRU,
40,Ciro Nogueira,
41,ROT IS COMING,
42,MADISON REYES,
43,Randolfe,
44,Lucian,
45,ELES NAMORAM,
46,Ivo Meirelles,
47,LZINN MELHOR DO MUNDO,
48,Beijo 3,
49,Marcos Rogério,
