,topic,tweet_volume
0,Chelsea,232029.0
1,Neymar,66979.0
2,Jonathan,56626.0
3,#AnticipateTheWig,55796.0
4,Germany,53195.0
5,#RMACHE,51095.0
6,#1DayToTheWig,50651.0
7,WATCH OUT FOR ERICA,48452.0
8,Hazard,39796.0
9,Marcelo,39154.0
10,BUY EVERYTHING TACHA,34228.0
11,Blues,33423.0
12,BUY NLNT89,32709.0
13,Benzema,32192.0
14,Donjazzy,31669.0
15,Vinicius,19056.0
16,Zidane,18386.0
17,FLEX CIROC LIKE KIDDWAYA,14518.0
18,#SUNDAYIGBOHO,14502.0
19,Casemiro,14107.0
20,Sierra Leone,13157.0
21,Seniorman,12726.0
22,Vbank,12254.0
23,Pulisic,12113.0
24,#PrayForVictony,10700.0
25,Kroos,10567.0
26,#Freshvibes,
27,#UnknownGunmen,
28,Azpi,
29,Ramsey Noah,
30,Odanz,
31,AFRICOM,
32,Don Baba,
33,lai mohammed,
34,Mendy,
35,Courtois,
36,plantain,
37,Rivers State,
38,#VeritasKapitalOnTheGo,
39,#OyoyoFashionApp,
40,#TurnOn4UrGoat,
41,#EMARSHAL,
42,#ChampionsLeague,
43,#SlayMovieNetflix,
44,#WhoDoYouThinkYouAre,
45,#YourViewTVC,
46,#COYB,
47,#lagosfather,
48,#ekobeats2021,
49,#KTBFFH,
