,topic,tweet_volume
0,#방탄소년단,908246.0
1,renjun,233019.0
2,Chelsea,213904.0
3,Tucker,211409.0
4,Wonpil,106257.0
5,Charles,73107.0
6,Ethereum,61809.0
7,Billie Eilish,58973.0
8,Angela,57986.0
9,Julia,55559.0
10,shawn,51456.0
11,Luke,44015.0
12,Portugal,42033.0
13,Mario Party,19271.0
14,Camille,16842.0
15,Rebecca,14475.0
16,Inzidenz,10161.0
17,#dasperfektedinner,
18,#FirstDates,
19,#FCNKSV,
20,#Verfassungsbeschwerde,
21,softeis,
22,Christoph,
23,Kardinal Marx,
24,Öffnen,
25,Schönen Abend,
26,Reinheitsgebot,
27,Thermomix,
28,Beamten,
29,Schönen Feierabend,
30,Polizist,
31,Strand,
32,Glasner,
33,Aneignung,
34,Grauen Wölfe,
35,Teller,
36,BVerfG,
37,Abgeordneten,
38,Emotes,
39,Comic Sans,
40,finanzminister,
41,Aktien,
42,Verfassungsklage,
43,Pfefferspray,
44,pfirsich,
45,Industrienation,
46,Thorsten,
47,insel,
48,Für Menschen,
49,Grundschulen,
