,topic,tweet_volume
0,Chelsea,213904.0
1,billie,116932.0
2,Bayern,114855.0
3,NFTs,106754.0
4,Aries,72648.0
5,Virgo,66291.0
6,Neymar,65318.0
7,Burkina Faso,51141.0
8,Mandi,50989.0
9,Sega,40848.0
10,Roberto Fraile,39952.0
11,Marcelo,36883.0
12,Monteros,27388.0
13,Escorpio,24227.0
14,Camille,16811.0
15,Generalitat,14044.0
16,#yoveosálvame,11938.0
17,Sandokan,11500.0
18,Del 1 al 10,11129.0
19,Géminis,10447.0
20,Love of Lesbian,10293.0
21,#cierrertve,
22,#PcComponentesLoPetaConIntel,
23,Lydia,
24,Casa Real,
25,Xerath,
26,#CiudadanosEsDeporte,
27,Laura Fa,
28,Mónica López,
29,Beatriz de Vicente,
30,Clandestino,
31,Bardem,
32,El Lute,
33,Lequio,
34,Descansen,
35,Tavares,
36,TSJC,
37,Rohan Dennis,
38,Makoke,
39,Tauro,
40,Mossos,
41,FRAP,
42,VAMOS REAL,
43,DMAX,
44,Jungly,
45,Ayuntamiento de Madrid,
46,Ineos,
47,Enhorabuena Juan,
48,Facuo,
