,topic,tweet_volume
0,Biden,641585.0
1,Chelsea,212047.0
2,billie,116296.0
3,Bayern,114715.0
4,Congreso,93929.0
5,Este Gobierno,68597.0
6,Nagelsmann,67964.0
7,SPOTIFY KING JIMIN,67220.0
8,Natalia Bedoya,60290.0
9,Burkina Faso,50966.0
10,Marcelo,36704.0
11,Hoy 27,24130.0
12,Medellín,20944.0
13,Galatasaray,17310.0
14,Rolando,16919.0
15,Dane,15382.0
16,Desprecio,12641.0
17,Extorsión,10036.0
18,#VanessaPregúnteleAUribe,
19,#BebidasAzucaradasSon,
20,#NoALaReforma,
21,#MarcharEnPandemiaEs,
22,#YoParoPor,
23,Daniel Galán,
24,Lalis,
25,ATP 250 de Múnich,
26,Ineos,
27,Cine Colombia,
28,Rohan Dennis,
29,Edson Velandia,
30,Adriana Lizcano,
31,caloto,
32,Catedral,
33,Gaviria,
34,Juan Guillermo Bolívar,
35,Titiribí,
36,Miguel Ángel López,
37,Turbay,
38,ESMAD,
39,Cúcuta,
40,Guarumo,
41,Ley 100,
42,Falcao,
43,La DIAN,
44,Atlético Mineiro,
45,Los Mártires,
46,Julián Román,
47,Quintero,
48,Miguelito,
49,Feid,
