,topic,tweet_volume
0,#방탄소년단,925869.0
1,Chelsea,257402.0
2,billie,124160.0
3,Renan Calheiros,89798.0
4,CPI da Covid,85750.0
5,Senado,81756.0
6,Anvisa,78716.0
7,Willow,57150.0
8,shawn,52317.0
9,Hazard,41631.0
10,#PachecoTchutchucaDoSTF,29965.0
11,Circo,28959.0
12,Guedes,27587.0
13,Guardiola,24357.0
14,Essa CPI,22748.0
15,Madison,21975.0
16,Mbappe,21173.0
17,Flávio Bolsonaro,20613.0
18,Zidane,19732.0
19,WHAT IS COMING,19569.0
20,aaron taylor johnson,18352.0
21,Antalya,18246.0
22,Camille,17671.0
23,Furia,15371.0
24,VENEZA,14334.0
25,Draco,13169.0
26,Mercado Livre,12173.0
27,Breaking Bad,11348.0
28,ENTÃO FAZ O L,10285.0
29,PERCY JACKSON IS COMING,
30,#LegendCup,
31,#ViniDay,
32,RITA CASTILLO,
33,#GabiDay,
34,Iara Riça,
35,Omar Aziz,
36,JORGE BENITO,
37,Xerath,
38,AMOR DA MINHA VIDA NO SPOTIFY,
39,rick riordan,
40,COLDPLAY IS COMING,
41,ELES NAMORAM,
42,Adnet,
43,Thiago Silva,
44,neslihan,
45,HAPPY BDAY NEIRU,
46,Azpilicueta,
47,Arlequina,
48,Randolfe,
49,O DEM,
