,topic,tweet_volume
0,billie,116471.0
1,High Court,95734.0
2,Wireless,70192.0
3,Neymar,65048.0
4,Hazard,38743.0
5,Marcelo,36561.0
6,Parker,27776.0
7,Halal,19860.0
8,Zidane,17631.0
9,17 vs Now,17143.0
10,Watermelon,15299.0
11,Ajax,15156.0
12,aaron taylor johnson,14464.0
13,Sierra Leone,12858.0
14,Rumour,12455.0
15,John Lewis,12380.0
16,#tippingpoint,
17,Wimbledon,
18,GB News,
19,#EndOurFireSafetyScandal,
20,Microsoft Teams,
21,#NationalGardeningWeek,
22,#hiring,
23,Salone,
24,Colreevy,
25,Tony Blair,
26,Envoi Allen,
27,Cheltenham,
28,Chacun Pour Soi,
29,Arlene Foster,
30,Peter Stringfellow,
31,Azpi,
32,Allaho,
33,William Hartnell,
34,Gerry Francis,
35,Britain First,
36,Paul Weller,
37,Romain,
38,EHRC,
39,Mullins,
40,grant shapps,
41,The DUP,
42,Echoes In Rain,
43,Champion Chase,
44,Melanie Phillips,
45,David Icke,
46,Nube Negra,
47,Migos,
48,Allegra Stratton,
