,topic,tweet_volume
0,Iran,212633.0
1,MucizeDoktor ÜçüncüSezon,92992.0
2,#alkolümedokunma,91127.0
3,Real Madrid - Chelsea,82638.0
4,KING JIMIN,70632.0
5,BirKıvılcımYeter ZehSer,52851.0
6,TamKapanmaVar AFnedenYok,35665.0
7,Rize,26719.0
8,Mansur Yavaş,25864.0
9,Kaydettim,24700.0
10,stok,23563.0
11,Ramazan'da,22516.0
12,Devlet Bahçeli,19010.0
13,Tekel,17640.0
14,SANA NE,15636.0
15,Yönetim Kurulu,13622.0
16,Rakı,10259.0
17,#JokerBitigenGörevde,10044.0
18,#1970ruhuyla,
19,#CHPNedenSessiz,
20,HaritaMuheOnay SayınRTE,
21,VUK359yasa MecliseGelsin,
22,TypToplum Zararına,
23,#CezaNeredePFDK,
24,YetimGülerse DünyaGüler,
25,Grup Yorum,
26,AdnanBey Olmayınca,
27,Mısra,
28,ÜçÇocuk AnnesizKalmasın,
29,Halil Uluer,
30,Bülent Uygun,
31,SnRTEALES Ertelenmedi,
32,Larkin,
33,Ömer Hayyam,
34,Güvencesiz Meslek,
35,ziya paşa,
36,Volkan Demirel,
37,Bugün 15 Ramazan,
38,dilan ekin,
39,Mithat Tekin,
40,camiye,
41,Pudra,
42,İsmail Uygur,
43,Ömer Çelik,
44,Türk Lirası,
45,Kenan Işık,
46,hatayspor,
47,Enner Valencia,
48,Neyzen Tevfik,
49,Şahika,
