,topic,tweet_volume
0,Chelsea,213008.0
1,Teams,136762.0
2,Jeonghan,121792.0
3,billie,116713.0
4,Bayern,114855.0
5,Gshow,92912.0
6,Rússia,89292.0
7,Renan Calheiros,81886.0
8,CPI da Covid,81435.0
9,Fortnite,79914.0
10,Senado,78584.0
11,Anvisa,76391.0
12,shawn,51456.0
13,#StanWorld,44373.0
14,Coca,37120.0
15,Dubai,30849.0
16,Lays,30006.0
17,Caixa,28010.0
18,Circo,27399.0
19,Guedes,24627.0
20,Guardiola,22933.0
21,Madison,21211.0
22,Essa CPI,21172.0
23,Zambelli,17843.0
24,Camille,16811.0
25,Flávio Bolsonaro,16455.0
26,Tarcísio,16370.0
27,Furia,14756.0
28,aaron taylor johnson,14522.0
29,Veneza,14057.0
30,#opiniaonoar,
31,#CiroOqueoBrasilPrecisaSaber,
32,Eduardo Cunha,
33,#TercaDetremuraSDV,
34,Zico,
35,ferrugem,
36,Weintraub,
37,Alcolumbre,
38,Mercado Livre,
39,ENTÃO FAZ O L,
40,RITA CASTILLO,
41,Omar Aziz,
42,Xerath,
43,AMOR DA MINHA VIDA NO SPOTIFY,
44,COLDPLAY IS COMING,
45,OMBRO,
46,HAPPY BDAY NEIRU,
47,Ciro Nogueira,
