,topic,tweet_volume
0,#AbrazaLaVida,880442.0
1,El Gobierno,392873.0
2,Chelsea,213008.0
3,#27Abr,184957.0
4,Feliz Día,157298.0
5,Bayern,114916.0
6,Top 5,88804.0
7,Apure,69402.0
8,Nagelsmann,68027.0
9,Neymar,65223.0
10,Diálogo,61839.0
11,Burkina Faso,51141.0
12,Dr. José Gregorio Hernández,39350.0
13,Hazard,38806.0
14,Marcelo,36704.0
15,DDHH,36055.0
16,#GNBCuidaDeTiyTuFamilia,32297.0
17,Coqui,32083.0
18,Bundesliga,29981.0
19,FARC,24545.0
20,Vladimir,20567.0
21,Alemania,18489.0
22,Desde Venezuela,16625.0
23,Douglas Rico,15590.0
24,#LiberenAOrlandoMoreno,14098.0
25,Cota 905,12818.0
26,Willie,11951.0
27,CICPC,11700.0
28,Don Omar,
29,#RafaelSimonALa1,
30,Andrés Stambouli,
31,Diseñador Gráfico,
32,Antonio Gramsci,
33,Banco del Tesoro,
34,Caramelos de Cianuro,
35,Essential Quality,
36,Zapatero,
37,Coliflor,
38,Madre Candelaria de San José,
39,Óscar Pérez,
40,internacional de porto alegre,
41,Noruega,
42,Día del Código Morse,
43,trinidad y venezuela,
44,Simonovis,
45,Ciudades Comunales,
46,Sudáfrica,
47,Liga de Campeones,
48,Iniesta,
49,Jorge Rodríguez,
