,topic,tweet_volume
0,#방탄소년단,925450.0
1,#BTS_Butter,851892.0
2,Amazon,762874.0
3,Chelsea,257402.0
4,billie,124291.0
5,Congreso,99133.0
6,El TC,50138.0
7,#OrdenYPatria,35067.0
8,Institución,34987.0
9,Carabineros de Chile,33623.0
10,Abuela,32587.0
11,Veto,30998.0
12,Feliz Aniversario,29050.0
13,San Antonio,26535.0
14,#ANITWTselcaDAY,22438.0
15,#PacosCuliaos,20658.0
16,#PacosCuliaos,20658.0
17,Ejecutivo,18928.0
18,#animetwt,15755.0
19,#TribunalContitucional,
20,#TerceRetiro10ciento,
21,#TercerRetiro,
22,Pamela Jiles,
23,Sergio Lagos,
24,Si Piñera,
25,Cruz Coke,
26,Aróstica,
27,María Luisa Brahm,
28,Moreira,
29,Amaro,
30,Doggis,
31,Piñi,
32,Tonka,
33,Viva Chile,
34,La CUT,
35,ARCIS,
36,Bárbara Figueroa,
37,Cordero,
38,Helhue,
39,Matthei,
40,Sichel,
41,#retirodel10xciento,
42,#Bienvenidos13,
43,#Somos94años,
44,#CuartoRetiro,
45,#muchogusto,
46,#FelizMartesATodos,
47,#ContigoEnLaManana,
