,topic,tweet_volume
0,Corona,279159.0
1,Chelsea,213904.0
2,Insta,139933.0
3,billie,116932.0
4,Over 2,88981.0
5,Cheers,41564.0
6,Mensen,35957.0
7,Human Rights Watch,26194.0
8,Laat,11460.0
9,mooi,10227.0
10,Lekker,10225.0
11,#thestreamers,
12,#koningsdag2021,
13,#Vondelpark,
14,#lldl,
15,#LangLeveDeLiefde,
16,Vaccinaties in Nederland,
17,Halsema,
18,Jolanda,
19,Amalia,
20,Proost,
21,Emine,
22,ProRail,
23,Femke,
24,weghorst,
25,Spaarne,
26,Politie,
27,Willem,
28,Friet,
29,timber,
30,Tompoes,
31,Prinsengracht,
32,Oosterpark,
33,Genieten,
34,Haarlem,
35,Griekenland,
36,Emmeloord,
37,Sander,
38,Blauw,
39,Jordaan,
40,Wit-Rusland,
41,Beatrix,
42,Hoorn,
43,Outbreak Management Team,
44,Jammer,
45,The Netherlands,
46,Zalig,
47,Soestdijk,
48,Heerlijk,
49,Zekers,
