,topic,tweet_volume
0,#방탄소년단,900380.0
1,#BTS_Butter,823085.0
2,Soft,168981.0
3,Real Madrid,141556.0
4,STAY GOLD ON iHEART,117026.0
5,billie,115642.0
6,BREAKING NEWS,93202.0
7,#우리의봄_원필아_생일축하해,90644.0
8,#Our_Healer_PILDAY,81985.0
9,SPOTIFY KING JIMIN,67880.0
10,#HAPPYWONPILDAY,52319.0
11,Maknae,52194.0
12,Munarman,51627.0
13,Woozi,47967.0
14,DO IT LIKE ITZY,47117.0
15,Babi,40038.0
16,papua,29324.0
17,Zahra,29221.0
18,Nasi,28623.0
19,D-29,26582.0
20,CHOI YEONJUN,23851.0
21,densus 88,20289.0
22,ISIS,19424.0
23,Sasuke,18740.0
24,youngk,16170.0
25,Tango,15018.0
26,HUANG RENJUN,14662.0
27,THANK YOU SEVENTEEN,14356.0
28,#ikatancintaep252,12972.0
29,jeon wonwoo,11665.0
30,Depok,10950.0
31,ABC Leci,10433.0
32,I LOVE YOU HYUNSUK,
33,Gen 2,
34,Gen 3,
35,Gen 4,
36,Petamburan,
37,PARK JISUNG,
38,Munaroh,
39,MUNARBOY,
40,Fadli Zon,
41,Bravo Polri,
42,nasgor,
43,Bias Wreckers,
44,Sandal,
45,Rezim,
46,Rizal,
47,#Selingkuh,
