,topic,tweet_volume
0,#방탄소년단,925450.0
1,#BTS_Butter,851892.0
2,#COVID19,538673.0
3,Apple,494234.0
4,Trump,479229.0
5,America,452580.0
6,WhatsApp,296210.0
7,España,274572.0
8,Chelsea,256454.0
9,Colombia,179565.0
10,billie,124291.0
11,Totalmente,119730.0
12,Necesitamos,83783.0
13,EN VIVO,83324.0
14,Bravo,82767.0
15,Michael Jackson,64605.0
16,Constitución,56603.0
17,Jason,54966.0
18,Dunia,50490.0
19,Tranquilo,36418.0
20,Bad Bunny,31022.0
21,Pronta,22673.0
22,Ministerio Público,16833.0
23,Gonzalo,16191.0
24,Danilo,10842.0
25,#OperacionCoral,
26,Adán Cáceres,
27,Plan Mi Vivienda,
28,obesidad y especialidades,
29,Centro Médico de Diabetes,
30,Milly,
31,Pepca,
32,Código Penal,
33,Peña Guaba,
34,Cestur,
35,#FelizMartesATodos,
36,pastora rossy guzmán,
37,Paliza,
38,Luis Abinader,
39,Ozama,
40,Presidente Abinader,
41,dncd,
42,Faride,
43,alofoke,
44,Oh Dios,
45,Los Alcarrizos,
46,Jean Alain,
47,monte plata,
48,Montecristi,
49,Samaná,
