,topic,tweet_volume
0,renjun,232951.0
1,Chelsea,213904.0
2,Tucker,211409.0
3,wonpil,106257.0
4,Charles,73107.0
5,Ethereum,61809.0
6,Billie Eilish,58828.0
7,Angela,57986.0
8,Julia,55559.0
9,shawn,51456.0
10,Luke,44015.0
11,Portugal,42033.0
12,Justin Bieber,22939.0
13,Mario Party,19298.0
14,Camille,16842.0
15,Rebecca,14481.0
16,Inzidenz,10161.0
17,#Nagelsmann,
18,#dasperfektedinner,
19,#firstdates,
20,softeis,
21,Christoph,
22,Kardinal Marx,
23,Öffnen,
24,Schönen Abend,
25,Reinheitsgebot,
26,Thermomix,
27,Beamten,
28,Schönen Feierabend,
29,Polizist,
30,Strand,
31,Glasner,
32,Aneignung,
33,Emotes,
34,Grauen Wölfe,
35,Abgeordneten,
36,BVerfG,
37,Teller,
38,Comic Sans,
39,finanzminister,
40,Aktien,
41,Verfassungsklage,
42,Pfefferspray,
43,pfirsich,
44,Industrienation,
45,Thorsten,
46,insel,
47,Für Menschen,
