,topic,tweet_volume
0,Minister,326909.0
1,Chelsea,213904.0
2,Real Madrid,138029.0
3,billie,116713.0
4,Israeli,88494.0
5,Andrea,70668.0
6,olivia,57631.0
7,Burkina Faso,51141.0
8,Charlie,50523.0
9,Cabinet,42962.0
10,#RMACHE,42569.0
11,Ruby,39799.0
12,Hazard,38870.0
13,Human Rights Watch,26194.0
14,Donna,23181.0
15,mRNA,21805.0
16,Zara,20418.0
17,#technology,16572.0
18,Sammy,15922.0
19,Hazel,10782.0
20,Chacun Pour Soi,
21,Colreevy,
22,Envoi Allen,
23,Arlene,
24,#PunchestownFestival,
25,The DUP,
26,Champion Chase,
27,Teena,
28,Monkfish,
29,Cheltenham,
30,Joe Walsh Tours,
31,allaho,
32,Echoes In Rain,
33,#PTown21,
34,Eoghan Murphy,
35,Dublin Bay South,
36,Tony Blair,
37,#TeamIvana,
38,Watkins,
39,Sancho,
40,Dowdall,
41,Regency Hotel,
42,Dail,
43,Gerry,
44,Seanad,
45,Bon Jovi,
46,NIAC,
47,listen back,
48,Micheál Martin,
49,iPhones,
