,topic,tweet_volume
0,السعودية,648329.0
1,Oscar,337080.0
2,Chelsea,256454.0
3,Sara,135164.0
4,billie,124160.0
5,لبنان,60604.0
6,اليمن,29200.0
7,اسرائيل,22924.0
8,المغرب,17434.0
9,تشيلسي,17280.0
10,Egyptian,16468.0
11,سوريا,15306.0
12,علي نعمه,13547.0
13,صلاح,13453.0
14,اوروبا,12801.0
15,Eminem,12093.0
16,السودان,10959.0
17,الريال,10278.0
18,#نه_مظ,
19,الجزائر,
20,#هازارد,
21,#صلوا_علي_سيدنا_محمد,
22,#كاس_العرب,
23,مارسيلو,
24,#اهلاوي_سيب_تويته_نتابعك,
25,يوسف الشريف,
26,زيدان,
27,توخيل,
28,ملوك الصاجات,
29,مدام هناء,
30,للاهلي,
31,بنزيما,
32,باريس,
33,شهر الصيام,
34,مالك الملك,
35,لندن,
36,محمد فراج,
37,وحش الكون,
38,ليبيا,
39,الموجه الثالثه,
40,سيب اليوزر,
41,مروان,
42,محرز,
43,فول الصين العظيم,
44,كروس,
45,تونس,
46,السيتي,
47,ميتين امي,
48,حافظ سلامة,
49,الباطن,
