,topic,tweet_volume
0,renjun,232951.0
1,Chelsea,213904.0
2,Tucker,211409.0
3,Wonpil,106257.0
4,Charles,73107.0
5,Ethereum,61809.0
6,Billie Eilish,58828.0
7,Angela,57986.0
8,Julia,55613.0
9,shawn,51456.0
10,Luke,44015.0
11,Portugal,42082.0
12,Justin Bieber,22939.0
13,Mario Party,19271.0
14,Camille,16811.0
15,Rebecca,14475.0
16,Inzidenz,10177.0
17,#dasperfektedinner,
18,#firstdates,
19,#FCNKSV,
20,#Verfassungsbeschwerde,
21,softeis,
22,Christoph,
23,Kardinal Marx,
24,Öffnen,
25,Schönen Abend,
26,Reinheitsgebot,
27,Thermomix,
28,Beamten,
29,Schönen Feierabend,
30,Polizist,
31,Strand,
32,Glasner,
33,Aneignung,
34,Emotes,
35,Grauen Wölfe,
36,Abgeordneten,
37,BVerfG,
38,Teller,
39,Comic Sans,
40,finanzminister,
41,Aktien,
42,Verfassungsklage,
43,Pfefferspray,
44,pfirsich,
45,Industrienation,
46,Thorsten,
47,insel,
48,Für Menschen,
