,topic,tweet_volume
0,renjun,233019.0
1,Chelsea,213904.0
2,Tucker,211409.0
3,Wonpil,106257.0
4,Charles,73107.0
5,Ethereum,61809.0
6,Billie Eilish,58828.0
7,Angela,57986.0
8,Julia,55613.0
9,shawn,51456.0
10,Luke,44015.0
11,Portugal,42082.0
12,Mario Party,19271.0
13,Grundrechte,17459.0
14,Camille,16842.0
15,Rebecca,14475.0
16,Inzidenz,10161.0
17,#Nagelsmann,
18,#dasperfektedinner,
19,#FirstDates,
20,#FCNKSV,
21,softeis,
22,Christoph,
23,Kardinal Marx,
24,Öffnen,
25,Schönen Abend,
26,Reinheitsgebot,
27,Thermomix,
28,Beamten,
29,Schönen Feierabend,
30,Polizist,
31,Strand,
32,Glasner,
33,Aneignung,
34,Grauen Wölfe,
35,Teller,
36,Abgeordneten,
37,BVerfG,
38,Emotes,
39,Comic Sans,
40,finanzminister,
41,Aktien,
42,Verfassungsklage,
43,Pfefferspray,
44,pfirsich,
45,Industrienation,
46,Thorsten,
47,insel,
48,Für Menschen,
