,topic,tweet_volume
0,#BTSARMY,1085002.0
1,#BTS_Butter,823782.0
2,Apple,479289.0
3,Japan,406059.0
4,Chelsea,221321.0
5,Position,143971.0
6,Africa,140447.0
7,billie,115642.0
8,NFTs,103709.0
9,Dosis,95861.0
10,#DeFi,82614.0
11,Iranian,57046.0
12,Dame,49009.0
13,J'aime,48839.0
14,Termine,45906.0
15,Portugal,40658.0
16,Sofa,34493.0
17,Saison,31036.0
18,Lage,12522.0
19,#TDR2021,
20,Dosen,
21,Herbst,
22,Kantone,
23,Beine,
24,Gesetz,
25,Vergleich,
26,Stück,
27,Freut,
28,Begriff,
29,suisses,
30,Angebot,
31,Körper,
32,Aufgabe,
33,Schade,
34,Genève,
35,Druck,
36,Ooooh,
37,Dummheit,
38,Insel,
39,Projekt,
40,Ansatz,
41,Seiten,
42,Swiss,
43,Fribourg,
44,Digga,
45,Vertrauen,
46,Valais,
47,Luft,
48,Quatsch,
