,topic,tweet_volume
0,#방탄소년단,908246.0
1,Johnson,303615.0
2,Maria,234846.0
3,Cuba,131285.0
4,billie,116713.0
5,Bayern,114855.0
6,shawn,51456.0
7,Burkina Faso,51141.0
8,#Amici20,47981.0
9,Sonia,46658.0
10,Giulia,40047.0
11,Lola,36652.0
12,Serena,17061.0
13,Antalya,16143.0
14,#HanKer,15022.0
15,Aaron Taylor,14825.0
16,Salvini,11894.0
17,Gramsci,11883.0
18,Samuele,
19,Jerry Calà,
20,Gange,
21,Pettinelli,
22,Biagio,
23,Hallelujah,
24,Peter Neumair,
25,Senato,
26,Benno,
27,Armanda,
28,Dosi,
29,Sangio,
30,BALLERINI,
31,ridere,
32,5mila,
33,Lino Banfi,
34,Niccolò,
35,Lombardia,
36,Agnese,
37,Deddy,
38,Cosimo,
39,San Marino,
40,Grillo,
41,can divit,
42,Gipi,
43,Sikh,
44,Katy Perry,
45,Fratelli,
46,Dagospia,
47,Terni,
