,topic,tweet_volume
0,Chelsea,257402.0
1,Real Madrid,162759.0
2,billie,124291.0
3,Wonpil,113079.0
4,Julia,55809.0
5,Dani,55067.0
6,Luke,43952.0
7,Coldplay,19154.0
8,Tuchel,18282.0
9,Camille,17671.0
10,Impfung,17531.0
11,Rebecca,14547.0
12,Elvis,11659.0
13,Inzidenz,10527.0
14,#JKvsP7,
15,#hartzundherzlich,
16,#dasperfektedinner,
17,#FCNKSV,
18,#HomeforWhovians,
19,Klaas,
20,Dagmar,
21,Merz in sein Wahlkampfteam,
22,Joko,
23,kardinal marx,
24,Schönen Abend,
25,Softeis,
26,Christoph,
27,Kiel,
28,öffnen,
29,Thermomix,
30,Abgeordnete,
31,Beamten,
32,Teller,
33,Nacken,
34,Suppe,
35,Reinheitsgebot,
36,Pille,
37,Schönen Feierabend,
38,Schulen,
39,Polizist,
40,aneignung,
41,nürnberg,
42,Parmesan,
43,fahrradland,
44,Aktien,
45,Elefant,
46,rechenfehler,
47,Happy End,
48,Gottseidank,
49,Rente,
