,topic,tweet_volume
0,Chelsea,256454.0
1,daddy,246895.0
2,Holy,147343.0
3,London,136771.0
4,Religion,99946.0
5,Church,83141.0
6,Scam,62276.0
7,#RMACHE,62235.0
8,WATCH OUT FOR ERICA,50247.0
9,Ghana,42462.0
10,Marcelo,41863.0
11,Hazard,41680.0
12,Pastor,40753.0
13,I Dey,37205.0
14,Blues,35337.0
15,BUY EVERYTHING TACHA,34678.0
16,Benzema,34554.0
17,Kante,25726.0
18,Vinicius,20556.0
19,Zidane,19732.0
20,Tuchel,18282.0
21,Werner,18196.0
22,Sani,15019.0
23,Christianity,14997.0
24,Giroud,13858.0
25,Pulisic,13274.0
26,Varane,11609.0
27,Burna,11363.0
28,Kroos,11270.0
29,Mendy,10145.0
30,Nana Agradaa,
31,Lighthouse,
32,Azpi,
33,#FormulaOne,
34,Evangelist,
35,#PureDrive,
36,#TheDrYve,
37,#SilverSports,
38,Patricia Oduro,
39,Sika,
40,Vaseline,
41,Reece James,
42,SSNIT,
43,Chilwell,
44,Free SHS,
45,Modric,
46,kissi agyebeng,
47,Mason Mount,
48,Benin,
49,Ziyech,
