,topic,tweet_volume
0,Tucker Carlson,163238.0
1,billie,116471.0
2,High Court,95734.0
3,Wireless,70192.0
4,Neymar,65048.0
5,Hazard,38743.0
6,Marcelo,36561.0
7,olivia rodrigo,20027.0
8,Halal,19852.0
9,Watermelon,15299.0
10,Ajax,15156.0
11,aaron taylor johnson,14464.0
12,Rumour,12450.0
13,John Lewis,12380.0
14,#MichaelJacksonWasFramed,10971.0
15,Colreevy,
16,Tony Blair,
17,#boohootreats,
18,#PunchestownFestival,
19,Envoi Allen,
20,Cheltenham,
21,Chacun Pour Soi,
22,Arlene Foster,
23,Peter Stringfellow,
24,#YIAYgame,
25,Allaho,
26,Gerry Francis,
27,William Hartnell,
28,Britain First,
29,Paul Weller,
30,Romain,
31,EHRC,
32,grant shapps,
33,Mullins,
34,The DUP,
35,Echoes In Rain,
36,Champion Chase,
37,Melanie Phillips,
38,David Icke,
39,Nube Negra,
40,Migos,
41,Allegra Stratton,
42,Unionism,
43,Stormont,
44,Southgate,
45,Argos,
46,Ryanair,
