,topic,tweet_volume
0,#BTSARMY,1109252.0
1,#방탄소년단,918893.0
2,#BTS_Butter,829428.0
3,TikTok,613516.0
4,Seventeen,323128.0
5,Chelsea,278003.0
6,renjun,235757.0
7,jisung,210264.0
8,Apex,199107.0
9,Beauty,191779.0
10,kwangsoo,185304.0
11,Real Madrid,178669.0
12,taylor,160367.0
13,Neelofa,130086.0
14,billie,122140.0
15,Anna,120091.0
16,Yuki,116469.0
17,Wonpil,113754.0
18,wonwoo,108940.0
19,Santa,106985.0
20,#우리의봄_원필아_생일축하해,94388.0
21,#Our_Healer_PILDAY,83243.0
22,Hang,80385.0
23,PayPal,73486.0
24,Spaces,69785.0
25,felix,63818.0
26,Fazura,60461.0
27,Olivia,53806.0
28,woozi,48222.0
29,Ronaldo,48056.0
30,DO IT LIKE ITZY,47301.0
31,Season 2,43517.0
32,Danny,41896.0
33,Hazard,41263.0
34,Theo,37878.0
35,kelantan,37097.0
36,cheol,32510.0
37,wonho,31417.0
38,riri,23157.0
39,Hank,21003.0
40,Werner,18535.0
41,Riki,15110.0
42,youngk,14836.0
43,Arin,11475.0
44,moonbin,11409.0
45,Yixing,10492.0
46,sunggyu,
47,jaehwan,
48,Oh Allah,
49,Toby,
