,topic,tweet_volume
0,Madrid,511778.0
1,Minister,319461.0
2,Chelsea,257402.0
3,Messi,103154.0
4,Nintendo,97412.0
5,Israeli,87756.0
6,Neymar,70295.0
7,#RMACHE,61661.0
8,Olivia,56536.0
9,Charlie,50801.0
10,Cabinet,42735.0
11,Hazard,41631.0
12,Ruby,39914.0
13,Human Rights Watch,27956.0
14,mRNA,21748.0
15,17 vs Now,19195.0
16,Tuchel,18282.0
17,Werner,18196.0
18,Ajax,16524.0
19,Sammy,16223.0
20,Gordon,16105.0
21,Trent,10841.0
22,Colreevy,
23,#yupcouncil,
24,Envoi Allen,
25,arlene foster,
26,#PunchestownFestival,
27,Chacun Pour Soi,
28,champion chase,
29,Cheltenham,
30,walk in the park,
31,Monkfish,
32,Teena,
33,Tony Blair,
34,Willie Mullins,
35,The DUP,
36,Allaho,
37,#PTown21,
38,#eoghanmurphy,
39,Ivana,
40,Joe Walsh Tours,
41,dublin bay south,
42,Paul Townend,
43,Sancho,
44,Haaland,
45,seanad,
46,Dowdall,
47,The IRA,
48,Dail,
49,iPhones,
