,topic,tweet_volume
0,#BTSARMY,1119927.0
1,Spotify,1000847.0
2,#방탄소년단,925869.0
3,#BTS_Butter,852410.0
4,Bestie,252495.0
5,Pfizer,244136.0
6,Iran,214823.0
7,billie,124291.0
8,Jordan,81990.0
9,Apartheid,71701.0
10,#nftcollector,28464.0
11,Human Rights Watch,27932.0
12,#נבצרות_עכשיו,
13,אור כרמי,
14,שר משפטים,
15,אופיר אקוניס,
16,של אקוניס,
17,Lebanon,
18,Netanyahu,
19,דני דנון,
20,חוק יסוד,
21,של נתניהו,
22,Zionism,
23,עמית סגל,
24,ראש ממשלה,
25,נו ו,
26,יאיר לפיד,
27,ארגון פשע,
28,איזה אפס,
29,ערב טוב,
30,אף אחד,
31,שי ניצן,
32,Knesset,
33,אז למה,
34,טוב נו,
35,אמא שלי,
