,topic,tweet_volume
0,#BTSARMY,1119927.0
1,#방탄소년단,925869.0
2,#BTS_Butter,851892.0
3,louis tomlinson,158698.0
4,Cuba,131660.0
5,billie,124291.0
6,#Amici20,49354.0
7,Sonia,47201.0
8,#HanKer,23318.0
9,aaron taylor,18586.0
10,Tito,18501.0
11,Antalya,18278.0
12,Serena,17637.0
13,PERCY JACKSON,16587.0
14,Gramsci,13252.0
15,Manca,13168.0
16,Beatles,10570.0
17,DIRETTA DAYLIA,10433.0
18,#preferiscoChi,
19,#Senato,
20,Samuele,
21,Jerry Calà,
22,Gange,
23,Hallelujah,
24,Lega e Forza Italia,
25,Pocho,
26,Pettinelli,
27,Italia Viva,
28,Dosi,
29,Peter Neumair,
30,Lombardia,
31,Fratelli,
32,maria anna,
33,BALLERINI,
34,5mila,
35,Walter De Benedetto,
36,Benno,
37,Gipi,
38,Sangio,
39,Grillo,
40,Dagospia,
41,niccolò,
42,Manchi,
43,Nutella,
44,Tuttosport,
45,#cinevarianteindiana,
46,#leredita,
47,#Scanzi,
48,#aspettandoLDU,
49,#anchegiuliadeveballare,
