,topic,tweet_volume
0,#방탄소년단,918284.0
1,#BTS_Butter,843627.0
2,#Resign_PM_Modi,439640.0
3,#GodMorningTuesday,252169.0
4,1 Bitcoin,141857.0
5,billie,121677.0
6,Jordan,80615.0
7,SPOTIFY KING JIMIN,68629.0
8,Donation,66072.0
9,Delhi HC,53179.0
10,हाई कोर्ट,46601.0
11,Hazard,40674.0
12,Marcelo,40390.0
13,SSRians Pray 4 Better India,40303.0
14,Donating,39996.0
15,Congratulations Jimin,39258.0
16,CHARTBUSTER SEETI MAAR,38428.0
17,#RCBvsDC,25714.0
18,Shaw,21966.0
19,Mishra,21196.0
20,Pant,20574.0
21,Zidane,19091.0
22,KINDEST ACTOR AKSHAY KUMAR,18902.0
23,Siraj,17241.0
24,Pyare Khan,14149.0
25,#AbdeVilliers,
26,Hetmyer,
27,Stoinis,
28,Yorkers,
29,Jamieson,
30,Hetty,
31,MPLADS,
32,Harshal,
33,Avesh Khan,
34,Captaincy,
35,Sundar,
36,Azpi,
37,ponting,
38,Sams,
39,Agartala,
40,Arfa,
41,Royal Challengers Bangalore,
42,rabada,
43,Patidar,
44,charan,
45,Ishant,
46,Steve Smith,
47,DUSK BLUE,
48,Binga,
49,#DelhiCapitals,
