,topic,tweet_volume
0,#방탄소년단,910140.0
1,#BTS_Butter,834843.0
2,TikTok,614624.0
3,seventeen,323518.0
4,renjun,233796.0
5,Chelsea,232029.0
6,Apex,200770.0
7,kwang,167299.0
8,Real Madrid,147139.0
9,Insta,137126.0
10,Neelofa,128770.0
11,Anna,122167.0
12,billie,118910.0
13,Yuki,116512.0
14,wonpil,110682.0
15,wonwoo,107404.0
16,Mingyu,102531.0
17,#Our_Healer_PILDAY,82289.0
18,Hang,80176.0
19,Highlight,75518.0
20,PayPal,75298.0
21,Hyunjin,72098.0
22,yeonjun,71357.0
23,felix,64411.0
24,Fazura,59481.0
25,sabah,51874.0
26,IM SORRY,50317.0
27,Ronaldo,49111.0
28,woozi,48172.0
29,DO IT LIKE ITZY,47219.0
30,Danny,42188.0
31,Hazard,39752.0
32,Theo,38572.0
33,cheol,32408.0
34,Wonho,31329.0
35,hank,21082.0
36,Choi Yena,18538.0
37,Werner,16610.0
38,youngk,16343.0
39,junhui,15305.0
40,Arin,11390.0
41,Nite,11307.0
42,Yixing,10675.0
43,Sunggyu,
44,jaehwan,
45,Happy Birthdayyy,
46,Oh Allah,
47,Toby,
