,topic,tweet_volume
0,Chelsea,232029.0
1,Neymar,66979.0
2,Jonathan,56576.0
3,#AnticipateTheWig,55692.0
4,Germany,53195.0
5,#RMACHE,51095.0
6,#1DayToTheWig,50651.0
7,WATCH OUT FOR ERICA,48384.0
8,Hazard,39752.0
9,Marcelo,39075.0
10,BUY EVERYTHING TACHA,34256.0
11,Blues,33423.0
12,BUY NLNT89,32694.0
13,Benzema,32192.0
14,Donjazzy,31669.0
15,Vinicius,19056.0
16,Zidane,18386.0
17,#SUNDAYIGBOHO,14520.0
18,FLEX CIROC LIKE KIDDWAYA,14515.0
19,Casemiro,14131.0
20,Sierra Leone,13157.0
21,Vbank,12228.0
22,Pulisic,12076.0
23,#PrayForVictony,10681.0
24,Kroos,10567.0
25,#Freshvibes,
26,Azpi,
27,Ramsey Noah,
28,Odanz,
29,AFRICOM,
30,Don Baba,
31,lai mohammed,
32,Mendy,
33,Courtois,
34,plantain,
35,Rivers State,
36,#UnknownGunmen,
37,#VeritasKapitalOnTheGo,
38,#OyoyoFashionApp,
39,#TurnOn4UrGoat,
40,#emarshal,
41,#ChampionsLeague,
42,#SlayMovieNetflix,
43,#WhoDoYouThinkYouAre,
44,#YourViewTVC,
45,#COYB,
46,#lagosfather,
47,#ekobeats2021,
48,#KTBFFH,
