,topic,tweet_volume
0,Iran,212510.0
1,MucizeDoktor ÜçüncüSezon,92992.0
2,#alkolümedokunma,91279.0
3,Real Madrid - Chelsea,82638.0
4,KING JIMIN,70632.0
5,BirKıvılcımYeter ZehSer,52851.0
6,Rize,26772.0
7,Mansur Yavaş,25881.0
8,Kaydettim,24700.0
9,stok,23563.0
10,Şeriat,23506.0
11,Ramazan'da,22538.0
12,Devlet Bahçeli,19010.0
13,Tekel,17640.0
14,SANA NE,15636.0
15,Yönetim Kurulu,13622.0
16,Rakı,10259.0
17,#JokerBitigenGörevde,10044.0
18,#1970ruhuyla,
19,#CHPNedenSessiz,
20,HaritaMuheOnay SayınRTE,
21,TypToplum Zararına,
22,VUK359yasa MecliseGelsin,
23,#CezaNeredePFDK,
24,YetimGülerse DünyaGüler,
25,Grup Yorum,
26,AdnanBey Olmayınca,
27,Mısra,
28,ÜçÇocuk AnnesizKalmasın,
29,Halil Uluer,
30,SnRTEALES Ertelenmedi,
31,Bülent Uygun,
32,Ömer Hayyam,
33,Güvencesiz Meslek,
34,Ziya Paşa,
35,Volkan Demirel,
36,Bugün 15 Ramazan,
37,dilan ekin,
38,Mithat Tekin,
39,camiye,
40,Pudra,
41,İsmail Uygur,
42,Ömer Çelik,
43,Türk Lirası,
44,Kenan Işık,
45,Hatayspor,
46,Enner Valencia,
47,Neyzen Tevfik,
48,Şahika,
49,Ümit Özdağ,
