,topic,tweet_volume
0,COVID-19,1088877.0
1,billie,116296.0
2,Wireless,70192.0
3,Hazard,38743.0
4,Marcelo,36561.0
5,Parker,27753.0
6,Halal,19852.0
7,Zidane,17588.0
8,17 vs Now,17143.0
9,Watermelon,15299.0
10,Ajax,15156.0
11,aaron taylor johnson,14464.0
12,Sierra Leone,12858.0
13,Rumour,12450.0
14,John Lewis,12380.0
15,#tippingpoint,
16,Wimbledon,
17,GB News,
18,#EndOurFireSafetyScandal,
19,Microsoft Teams,
20,#NationalGardeningWeek,
21,#hiring,
22,Salone,
23,Colreevy,
24,Tony Blair,
25,Envoi Allen,
26,Cheltenham,
27,Chacun Pour Soi,
28,Arlene Foster,
29,Peter Stringfellow,
30,Azpi,
31,Allaho,
32,William Hartnell,
33,Gerry Francis,
34,Britain First,
35,Paul Weller,
36,Romain,
37,EHRC,
38,Mullins,
39,grant shapps,
40,The DUP,
41,Echoes In Rain,
42,Champion Chase,
43,Melanie Phillips,
44,David Icke,
45,Nube Negra,
46,Migos,
47,Allegra Stratton,
48,Stormont,
