,topic,tweet_volume
0,billie,116296.0
1,High Court,95734.0
2,Wireless,70192.0
3,Year 3,47404.0
4,Hazard,38743.0
5,Marcelo,36561.0
6,Parker,27776.0
7,Halal,19860.0
8,Zidane,17588.0
9,17 vs Now,17180.0
10,Watermelon,15299.0
11,Ajax,15156.0
12,aaron taylor johnson,14464.0
13,Sierra Leone,12858.0
14,Rumour,12455.0
15,John Lewis,12380.0
16,#tippingpoint,
17,Wimbledon,
18,GB News,
19,#EndOurFireSafetyScandal,
20,Microsoft Teams,
21,#NationalGardeningWeek,
22,#hiring,
23,#GetGlazersOut,
24,Salone,
25,Colreevy,
26,Tony Blair,
27,Envoi Allen,
28,Cheltenham,
29,Chacun Pour Soi,
30,Arlene Foster,
31,Peter Stringfellow,
32,Allaho,
33,Gerry Francis,
34,William Hartnell,
35,Britain First,
36,Azpi,
37,Paul Weller,
38,Romain,
39,EHRC,
40,Mullins,
41,grant shapps,
42,The DUP,
43,Echoes In Rain,
44,Champion Chase,
45,Melanie Phillips,
46,David Icke,
47,Nube Negra,
48,Migos,
49,Allegra Stratton,
