,topic,tweet_volume
0,#방탄소년단,900380.0
1,#BTS_Butter,823085.0
2,Soft,168981.0
3,Real Madrid,141212.0
4,STAY GOLD ON iHEART,117026.0
5,billie,115642.0
6,BREAKING NEWS,93290.0
7,#우리의봄_원필아_생일축하해,90644.0
8,#Our_Healer_PILDAY,81960.0
9,SPOTIFY KING JIMIN,67839.0
10,#BoringJalapeño_Day3,64514.0
11,#HAPPYWONPILDAY,52319.0
12,Maknae,52194.0
13,Munarman,51627.0
14,WOOZI,47967.0
15,#MITM_MVTeaser2,47291.0
16,DO IT LIKE ITZY,47117.0
17,Babi,39994.0
18,Zahra,29221.0
19,Nasi,28623.0
20,D-29,26590.0
21,CHOI YEONJUN,23854.0
22,densus 88,20289.0
23,ISIS,19424.0
24,Sasuke,18740.0
25,youngk,16170.0
26,Tango,15018.0
27,HUANG RENJUN,14671.0
28,THANK YOU SEVENTEEN,14357.0
29,#IkatanCintaEp252,12971.0
30,#TXT_연준,12287.0
31,jeon wonwoo,11665.0
32,Depok,10950.0
33,ABC Leci,10433.0
34,I LOVE YOU HYUNSUK,
35,Gen 2,
36,Gen 3,
37,Gen 4,
38,Petamburan,
39,PARK JISUNG,
40,Munaroh,
41,MUNARBOY,
42,Fadli Zon,
43,Bravo Polri,
44,nasgor,
45,Bias Wreckers,
46,Sandal,
47,Rezim,
48,Rizal,
49,#Selingkuh,
