,topic,tweet_volume
0,#AbrazaLaVida,880442.0
1,El Gobierno,393231.0
2,Chelsea,213904.0
3,#27Abr,185409.0
4,Feliz Día,157298.0
5,Bayern,114916.0
6,Top 5,88733.0
7,Apure,69402.0
8,Neymar,65223.0
9,Diálogo,61839.0
10,Burkina Faso,51141.0
11,Dr. José Gregorio Hernández,39350.0
12,Hazard,38806.0
13,Marcelo,36704.0
14,DDHH,36055.0
15,Coqui,32083.0
16,Bundesliga,29981.0
17,Vladimir,20567.0
18,Alemania,18489.0
19,Desde Venezuela,16625.0
20,Douglas Rico,15590.0
21,#LiberenAOrlandoMoreno,14098.0
22,Cota 905,12818.0
23,Willie,11951.0
24,CICPC,11700.0
25,Don Omar,
26,#RafaelSimonALa1,
27,Andrés Stambouli,
28,Diseñador Gráfico,
29,Antonio Gramsci,
30,Banco del Tesoro,
31,Caramelos de Cianuro,
32,Essential Quality,
33,Zapatero,
34,Coliflor,
35,Madre Candelaria de San José,
36,Óscar Pérez,
37,Día Mundial del Diseño,
38,internacional de porto alegre,
39,Noruega,
40,Día del Código Morse,
41,trinidad y venezuela,
42,Simonovis,
43,Ciudades Comunales,
44,Sudáfrica,
45,Liga de Campeones,
46,Iniesta,
47,Panteón Nacional,
48,Samuel Morse,
