,topic,tweet_volume
0,#BTSARMY,1097592.0
1,#방탄소년단,910140.0
2,#BTS_Butter,834843.0
3,15رمضان,137134.0
4,١٥ رمضان,137103.0
5,SPOTIFY KING JIMIN,68360.0
6,#مكه_الان,41531.0
7,#سعاد_جابر,41296.0
8,#متحرش_في_امه,24121.0
9,اليوم الثلاثاء,20483.0
10,#وفاه_ابو_وليد,19137.0
11,#الرياض_الان,17317.0
12,تشيلسي,14859.0
13,#مقلب_رامز_بريم_عبدالله,14223.0
14,#الحريه_لسمير_صفير,12432.0
15,#ولي_العهد_في_لقاء_خاص,10724.0
16,#امطار_مكه,10128.0
17,#محمد_بن_سلمان_علي_السعوديه,
18,#باركود15,
19,#ممنوع_التجول__15,
20,الريال,
21,مارسيلو,
22,توخيل,
23,هازارد,
24,جيل الثمانينات,
25,سامي الجابر,
26,حي الطريف,
27,نور علي,
28,جيمس,
29,كانتي,
30,صوت المطر,
31,فيصل بن بندر بن عبدالعزيز,
32,صوت الرعد,
33,#انقذوا_فهد_1,
34,#تهميش_معيدو_الجوف,
35,#ناصر_الدوسري,
36,#خالد_عبدالرحمن,
37,#عهود_السامر_ممنوع_التجول,
38,#ويش_يسعد_الرجل,
39,#مسابقه_كلنا_الطايف,
40,#مسلسل_منتصف_الليل15,
41,#هلالي_صريح,
42,#احمد__الشقيري,
43,#الديره15,
44,#شكرا_هتان_زايد,
45,#اجمك_الهلال,
46,#مولد_الحسن,
47,#بريك_علي_الدوسري,
48,#انقذوا_هاني,
