,topic,tweet_volume
0,COVID-19,1076459.0
1,#BTS_Butter,843627.0
2,Tucker Carlson,172194.0
3,Real Madrid,152903.0
4,billie,121677.0
5,Fox News,119862.0
6,wonpil,112068.0
7,Flowers,86589.0
8,The CDC,61340.0
9,Fields,59191.0
10,Willow,54449.0
11,Sega,42248.0
12,Marcelo,40461.0
13,Mario Party,20390.0
14,Rose McGowan,18252.0
15,New CDC,17850.0
16,aaron taylor johnson,17452.0
17,#MichaelJacksonWasFramed,14879.0
18,SNKRS,14480.0
19,Pulisic,12685.0
20,Babe Ruth,12550.0
21,Bill Lee,
22,Joe Rogan,
23,#WhyImSingle,
24,#YIAYgame,
25,Real ID,
26,Steve Harvey,
27,Lightning McQueen crocs,
28,James Carville,
29,Fear Factor,
30,Chris Simms,
31,Azpi,
32,PERCY JACKSON,
33,Miitopia,
34,Nick Fuentes,
35,NewsRadio,
36,Sewell,
37,Victor Hill,
38,Flintstones,
39,Pioneer League,
40,Chelsea Green,
41,Thanks CDC,
42,Scherff,
43,Hank Aaron,
44,Xerath,
45,The Tyranny of Big Tech,
46,annabeth,
47,Known Agenda,
48,Tony Blair,
