,topic,tweet_volume
0,#방탄소년단,925869.0
1,#BTS_Butter,851892.0
2,Chelsea,257402.0
3,El 27,168028.0
4,billie,124291.0
5,bayern,116527.0
6,Wonpil,113079.0
7,Happier Than Ever,88626.0
8,Neymar,70295.0
9,Burkina Faso,56970.0
10,shawn,52317.0
11,Roberto Fraile,45461.0
12,Julian Nagelsmann,43087.0
13,Marcelo,41779.0
14,alfredo adame,40155.0
15,Martes 27,34896.0
16,Bundesliga,30495.0
17,Guardiola,24357.0
18,#FelizMartes,22891.0
19,Miércoles 28,21558.0
20,Mario Party,20753.0
21,Zidane,19688.0
22,PERCY JACKSON,16587.0
23,Navillera,15323.0
24,Mimo,15205.0
25,Hacienda,12732.0
26,j balvin,11827.0
27,Ventana,11302.0
28,#ChampionsLeague,10633.0
29,Fernanda Familiar,
30,#SoyBellaCuando,
31,Anaya,
32,Julio Scherer,
33,Meade,
34,CURP,
35,Acapulco Shore,
36,FIME,
37,ROT IS COMING,
38,Consejero Jurídico,
39,Guillermo Haro,
40,Guardia Nacional,
41,Aristegui,
42,Obradorista,
43,EGEL,
44,CENEVAL,
45,Basilia Castañeda,
46,Excelente Martes,
47,Jimena,
48,Concachampions,
49,#ElPaisMasAcogedor,
