,topic,tweet_volume
0,#BTS_Butter,843627.0
1,Kerry,229678.0
2,Tucker Carlson,172194.0
3,Real Madrid,152903.0
4,billie,121677.0
5,Fox News,119862.0
6,NFTs,107721.0
7,Flowers,86636.0
8,The CDC,61051.0
9,Fields,59191.0
10,Chase,56707.0
11,Willow,54449.0
12,Sega,42288.0
13,Marcelo,40461.0
14,Mario Party,20390.0
15,Rose McGowan,18227.0
16,New CDC,17850.0
17,aaron taylor johnson,17495.0
18,#MichaelJacksonWasFramed,14879.0
19,SNKRS,14468.0
20,Pulisic,12646.0
21,Babe Ruth,12550.0
22,Pitts,
23,Dolphins,
24,Slater,
25,Geno Hayes,
26,Waddle,
27,Joe Rogan,
28,#WhyImSingle,
29,#YIAYgame,
30,Real ID,
31,Steve Harvey,
32,lightning mcqueen crocs,
33,James Carville,
34,Fear Factor,
35,Chris Simms,
36,Azpi,
37,PERCY JACKSON,
38,Miitopia,
39,Nick Fuentes,
40,NewsRadio,
41,Sewell,
42,Victor Hill,
43,Flintstones,
44,Pioneer League,
45,Chelsea Green,
46,Thanks CDC,
47,Scherff,
48,Hank Aaron,
