,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Tucker Carlson,174955.0
2,Real Madrid,162759.0
3,billie,124291.0
4,Fox News,122944.0
5,Flowers,87727.0
6,The CDC,66204.0
7,Fields,60163.0
8,Willow,57005.0
9,Sega,42971.0
10,Marcelo,41779.0
11,Big Tech,22016.0
12,Mario Party,20753.0
13,New CDC,19334.0
14,Rose McGowan,18636.0
15,aaron taylor johnson,18352.0
16,PERCY JACKSON,16587.0
17,#MichaelJacksonWasFramed,15781.0
18,The IRS,15171.0
19,SNKRS,14605.0
20,Pulisic,13274.0
21,Babe Ruth,12895.0
22,Joe Rogan,10567.0
23,#WhyImSingle,
24,Real ID,
25,#YIAYgame,
26,Steve Harvey,
27,lightning mcqueen crocs,
28,Fear Factor,
29,James Carville,
30,Chris Simms,
31,annabeth,
32,Azpi,
33,Nick Fuentes,
34,Miitopia,
35,NewsRadio,
36,Flintstones,
37,logan lerman,
38,Victor Hill,
39,Thanks CDC,
40,Pioneer League,
41,Sewell,
42,rick riordan,
43,Chelsea Green,
44,Scherff,
45,Hank Aaron,
46,Xerath,
47,Tony Blair,
