,topic,tweet_volume
0,#방탄소년단,906002.0
1,#BTS_Butter,850759.0
2,#COVID19,534802.0
3,Chelsea,212047.0
4,El 27,155798.0
5,billie,116471.0
6,Bayern,114784.0
7,Wonpil,105663.0
8,Neymar,65048.0
9,shawn,51374.0
10,Burkina Faso,51050.0
11,David Beriain,48867.0
12,DO IT LIKE ITZY,46967.0
13,Intelectuales,43937.0
14,Julian Nagelsmann,42774.0
15,Roberto Fraile,39876.0
16,Alfredo Adame,38638.0
17,MARTES 27,34519.0
18,Bundesliga,29937.0
19,Guardiola,22858.0
20,#FelizMartes,21589.0
21,Miércoles 28,20884.0
22,Mario Party,19226.0
23,#ANITWTselcaDAY,16816.0
24,Mimo,15082.0
25,Hacienda,12474.0
26,Ventana,11365.0
27,Fernanda Familiar,
28,#SoyBellaCuando,
29,#ElPaisMasAcogedor,
30,Anaya,
31,Julio Scherer,
32,Acapulco Shore,
33,ROT IS COMING,
34,Meade,
35,CURP,
36,FIME,
37,Guillermo Haro,
38,Excelente Martes,
39,J Balvin,
40,EGEL,
41,Basilia Castañeda,
42,Obradorista,
43,Guardia Nacional,
44,CENEVAL,
45,Aristegui,
46,#reborntwtselfieday,
47,#VivaAColombia,
48,#40ParaElDespeje,
49,#AbortoLegalPuebla,
