,topic,tweet_volume
0,Federal,253481.0
1,Chelsea,212047.0
2,Zoom,167203.0
3,Tucker Carlson,163069.0
4,billie,116296.0
5,Wonpil,105603.0
6,Fox News,98497.0
7,Nintendo,95907.0
8,Ontario,78978.0
9,Philippines,43997.0
10,Sega,40678.0
11,Toronto,38678.0
12,#tuesdayvibe,28790.0
13,Human Rights Watch,26123.0
14,Mario Party,19226.0
15,Rose McGowan,17221.0
16,Montréal,17067.0
17,Feds,14893.0
18,aaron taylor johnson,14464.0
19,North America,13248.0
20,Kananaskis,
21,#LTCstandardsNow,
22,#YIAYgame,
23,CRSB,
24,Steve Harvey,
25,Kayla,
26,Joe Rogan,
27,CSRB,
28,chaudière-appalaches,
29,K-Country,
30,Newfoundland,
31,miroslav frycer,
32,outaouais,
33,capitale-nationale,
34,Laval,
35,Environment Canada,
36,George Springer,
37,Zone 3,
38,Nouvelle-Écosse,
39,François Legault,
40,Sewell,
41,Prime Minister Justin Trudeau,
42,how jesus,
