,topic,tweet_volume
0,#방탄소년단,918284.0
1,#BTS_Butter,843627.0
2,#Resign_PM_Modi,439895.0
3,1 Bitcoin,141857.0
4,billie,121537.0
5,Delhi Govt,81096.0
6,Jordan,80615.0
7,SPOTIFY KING JIMIN,68629.0
8,Donation,66072.0
9,Delhi HC,53179.0
10,हाई कोर्ट,46642.0
11,Hazard,40624.0
12,Marcelo,40461.0
13,SSRians Pray 4 Better India,40197.0
14,Donating,39996.0
15,CHARTBUSTER SEETI MAAR,38428.0
16,#RCBvsDC,25815.0
17,#PlayBold,24710.0
18,Shaw,21966.0
19,Mishra,21220.0
20,Pant,20574.0
21,Zidane,19091.0
22,KINDEST ACTOR AKSHAY KUMAR,18902.0
23,Siraj,17119.0
24,Pyare Khan,14149.0
25,#MahaVaccination,10575.0
26,#AbdeVilliers,
27,Hetmyer,
28,Stoinis,
29,Yorkers,
30,Jamieson,
31,Hetty,
32,MPLADS,
33,Harshal,
34,Avesh Khan,
35,Captaincy,
36,Sundar,
37,Azpi,
38,ponting,
39,Sams,
40,Agartala,
41,Arfa,
42,Royal Challengers Bangalore,
43,Rabada,
44,Patidar,
45,charan,
46,Ishant,
47,Steve Smith,
48,DUSK BLUE,
49,Binga,
