,topic,tweet_volume
0,#BTS_Butter,843229.0
1,الإمارات,346209.0
2,Chelsea,243472.0
3,الهلال,59254.0
4,مكة المكرمة,34054.0
5,#Ramadan,29017.0
6,#رمضان_مبارك,28533.0
7,مدريد,27586.0
8,السناب,15046.0
9,علي الاقل,11648.0
10,صالح الاعمال,11301.0
11,الريال,
12,#قرنقشوه,
13,#علي_راشد_اين_اللقاح,
14,#فوازير_العز,
15,#القمر_العملاق,
16,مارسيلو,
17,مسجد المضمار,
18,بنزيما,
19,زيدان,
20,هازارد,
21,#بنك_العز_الاسلامي,
22,#مسابقات_بنك_نزوي,
23,#اخدود_السحب_الثقال,
24,#تصويري,
25,#شهر_الفوز,
26,#الشهر_الفضيل,
