,topic,tweet_volume
0,アップデート,206682.0
1,ピンクムーン,100023.0
2,Basic,93938.0
3,#あんスタ6周年,70640.0
4,Windows,53600.0
5,オオナズチ,28399.0
6,#メンテの日なのでssを貼る,23944.0
7,イベント制限,19403.0
8,あんさんぶるスターズ6周年,18213.0
9,テオ・テスカトル,17351.0
10,MacBook,16439.0
11,ブルーピリオド,16403.0
12,コロナ変異株,15491.0
13,ウマ娘メンテ,15038.0
14,議員パス,13900.0
15,ヌシモンスター,12128.0
16,アキレス腱断裂,11969.0
17,ふかわりょうさん,11824.0
18,クシャル,11806.0
19,重ね着装備,11691.0
20,どらほー,
21,#カリーライスチャレンジ,
22,女性視点,
23,#星野源ANN,
24,#宮田愛萌生誕祭,
25,モンハンアプデ,
26,ドス古龍,
27,チート能力,
28,エルシャダイ,
29,ドリフェス,
30,逃走の19歳少年逮捕,
31,let's note,
32,ユクモ村BGM,
33,無料10連,
34,バルファルク,
35,まん延防止以外,
36,ヌシディアブロス,
37,ThinkPad,
38,赤井とバーボンの名シーン,
39,追加モンスター,
40,HR解放,
41,落合くん,
42,レッツノート,
43,賠償命令,
44,重ね着解放,
45,暴力的キス,
46,咎人3周年,
47,イベクエ,
48,QWOP,
