,topic,tweet_volume
0,#방탄소년단,907532.0
1,#BTS_Butter,852393.0
2,Chelsea,213904.0
3,billie,116713.0
4,#Our_Healer_PILDAY,81492.0
5,Kazuha,76386.0
6,Michael Jackson,65954.0
7,Drake,43217.0
8,#RMACHE,42569.0
9,#ImamHassan,39481.0
10,Hazard,38870.0
11,Y'a R,38202.0
12,La Tribune,34010.0
13,Benzema,30094.0
14,Human Rights Watch,26194.0
15,Piercing,23484.0
16,Guardiola,22933.0
17,Zemmour,20305.0
18,Tuchel,15600.0
19,Werner,14914.0
20,Giroud,12156.0
21,Saken,11867.0
22,Moha,11312.0
23,#militaires,11241.0
24,#KCORP,
25,#LesJeunesVeulentLeVaccin,
26,Xerath,
27,Ouvrez,
28,Ziyech,
29,Karting,
30,Doctolib,
31,Ice Tea,
32,La Rochelle,
33,Joffrin,
34,France Inter,
35,Marty,
36,#EUMASTERS,
37,#DemainNousAppartient,
38,#TrouDeBalleDansUnTitre,
39,#menumanga,
40,#FamillesNombreuses,
41,#RendezAliceCoffin,
42,#PSGMCI,
43,#TDR2021,
44,#1jeune1solution,
