,topic,tweet_volume
0,COVID-19,1088221.0
1,#방탄소년단,925869.0
2,#BTS_Butter,851892.0
3,Tucker Carlson,174955.0
4,Real Madrid,162104.0
5,billie,124291.0
6,Fox News,122944.0
7,Flowers,87727.0
8,The CDC,65932.0
9,Fields,60105.0
10,Willow,57005.0
11,Sega,42971.0
12,Marcelo,41779.0
13,Big Tech,22016.0
14,Mario Party,20753.0
15,New CDC,19334.0
16,Rose McGowan,18621.0
17,aaron taylor johnson,18307.0
18,PERCY JACKSON,16587.0
19,#MichaelJacksonWasFramed,15781.0
20,SNKRS,14605.0
21,Pulisic,13274.0
22,Babe Ruth,12878.0
23,Joe Rogan,10567.0
24,Bill Lee,
25,#WhyImSingle,
26,Real ID,
27,#YIAYgame,
28,Steve Harvey,
29,Lightning McQueen crocs,
30,Fear Factor,
31,James Carville,
32,Chris Simms,
33,annabeth,
34,Azpi,
35,Nick Fuentes,
36,Miitopia,
37,Newsradio,
38,Flintstones,
39,logan lerman,
40,Victor Hill,
41,Thanks CDC,
42,Pioneer League,
43,Sewell,
44,rick riordan,
45,Chelsea Green,
46,Scherff,
47,Hank Aaron,
48,Xerath,
49,tony blair,
