,topic,tweet_volume
0,Madrid,511778.0
1,Corona,281729.0
2,Chelsea,257402.0
3,billie,124291.0
4,Over 2,90453.0
5,Echt,36190.0
6,Thierry,30526.0
7,Human Rights Watch,27932.0
8,Chrome,22494.0
9,Amsterdam,17619.0
10,Maan,14306.0
11,Ferry,12772.0
12,Lekker,10587.0
13,#thestreamers,
14,#koningsdag2021,
15,#Vondelpark,
16,#FirstDates,
17,#lldl,
18,Frank Lammers,
19,Madagascar,
20,Halsema,
21,Marco Borsato,
22,jolanda,
23,Snelle,
24,Amalia,
25,Noordeinde,
26,Vaccinaties in Nederland,
27,Proost,
28,Emine,
29,litouwen,
30,Karel,
31,Freek,
32,Weghorst,
33,Willem,
34,Breda,
35,Vorige,
36,Europeanen,
37,Europees Parlement,
38,Heerlijk,
39,ProRail,
40,Herman Finkers,
41,Olympische Spelen,
42,Prinsengracht,
43,Holocaust,
44,Wit-Rusland,
45,Oosterpark,
46,Westerstraat,
47,Emmeloord,
48,Sander,
49,Polen,
