,topic,tweet_volume
0,#BTS_Butter,851892.0
1,Iran,214948.0
2,Tucker Carlson,174778.0
3,Real Madrid,162759.0
4,billie,124291.0
5,Fox News,122944.0
6,Flowers,87727.0
7,The CDC,65932.0
8,Fields,60105.0
9,Willow,57005.0
10,Sega,42971.0
11,Marcelo,41779.0
12,Big Tech,22016.0
13,Mario Party,20766.0
14,New CDC,19242.0
15,Rose McGowan,18636.0
16,aaron taylor johnson,18307.0
17,PERCY JACKSON,16587.0
18,#MichaelJacksonWasFramed,15835.0
19,The IRS,15171.0
20,SNKRS,14605.0
21,Pulisic,13274.0
22,Babe Ruth,12878.0
23,Joe Rogan,10567.0
24,#whyimsingle,
25,Real ID,
26,#YIAYgame,
27,Steve Harvey,
28,Lightning McQueen crocs,
29,Fear Factor,
30,James Carville,
31,Chris Simms,
32,annabeth,
33,Azpi,
34,Nick Fuentes,
35,Miitopia,
36,Newsradio,
37,logan lerman,
38,Flintstones,
39,Victor Hill,
40,Thanks CDC,
41,Pioneer League,
42,Sewell,
43,Chelsea Green,
44,rick riordan,
45,Scherff,
46,Hank Aaron,
47,Xerath,
48,Tony Blair,
