,topic,tweet_volume
0,ピンクムーン,101002.0
1,Basic,97874.0
2,#あんスタ6周年,71500.0
3,Windows,55383.0
4,メンテナンス,55070.0
5,オオナズチ,28613.0
6,#メンテの日なのでssを貼る,24829.0
7,マグちゃん,22778.0
8,イベント制限,19761.0
9,あんさんぶるスターズ6周年,18416.0
10,テオ・テスカトル,17537.0
11,ブルーピリオド,17181.0
12,MacBook,16972.0
13,ウマ娘メンテ,15824.0
14,コロナ変異株,15701.0
15,議員パス,14074.0
16,ヌシモンスター,12264.0
17,アキレス腱断裂,12086.0
18,ふかわりょうさん,12046.0
19,クシャル,11895.0
20,重ね着装備,11830.0
21,Adoさん,
22,#ホイミー,
23,#星野源ANN,
24,チート能力,
25,モンハンアプデ,
26,エルシャダイ,
27,逃走の19歳少年逮捕,
28,ドス古龍,
29,ドリフェス,
30,Let's note,
31,無料10連,
32,咎人3周年,
33,バルファルク,
34,ユクモ村BGM,
35,まん延防止以外,
36,ThinkPad,
37,ヌシディアブロス,
38,赤井とバーボンの名シーン,
39,hr解放,
40,追加モンスター,
41,落合くん,
42,レッツノート,
43,賠償命令,
44,重ね着解放,
45,暴力的キス,
46,概念・理・法則,
47,改変・移動,
48,無限の多元宇宙,
