,topic,tweet_volume
0,COVID-19,1047976.0
1,Apple,479289.0
2,Chelsea,220601.0
3,iPhone,215638.0
4,Spot,195989.0
5,Canada,153869.0
6,Real Madrid,141212.0
7,London,129605.0
8,Tesla,117424.0
9,billie,115456.0
10,Champions League,75546.0
11,Arsenal,71896.0
12,Nagelsmann,67323.0
13,Depends,49005.0
14,Spain,46581.0
15,Liverpool,40911.0
16,vent,23432.0
17,Somalia,16890.0
18,Levy,11959.0
19,#dax18,
20,#nrkdebatt,
21,Lothepus,
22,Charter-Svein,
23,Oslo,
24,#dagsrevyen,
25,Fredrik Solvang,
26,Raymond,
27,Helt,
28,#målminutt,
29,Ten Hag,
30,Nettopp,
31,#KroenkeOut,
32,spennende,
33,Sikkert,
34,Veldig,
35,Viken,
36,Tenker,
37,kommer,
38,Ålesund,
39,Tromsø,
40,Skjønner,
41,Måtte,
