,topic,tweet_volume
0,Chelsea,257402.0
1,Teacher,152597.0
2,TAGs,127716.0
3,Bayern,116584.0
4,Adorable,111487.0
5,Bhai,97686.0
6,Senator,57533.0
7,More Power,48705.0
8,Fruit,48686.0
9,Cambridge,45509.0
10,Marcelo,41779.0
11,CHARTBUSTER SEETI MAAR,39081.0
12,Hande,33731.0
13,Ahhhh,32978.0
14,Oops,32770.0
15,#Resignshafqatmahmood,26748.0
16,Postponed,26557.0
17,#StayStrongSiddiqueJan,24759.0
18,Universities,22681.0
19,Zidane,19688.0
20,#ولادتِ_سردارِ_جنت_حسنؑ,11383.0
21,#جشن_آمد_امام_حسن_مجتبٰیؑ,
22,#DGFIAexposesImranKhan,
23,Bashir Memon,
24,Imam Hassan,
25,Andre Russell,
26,Karachi Kings,
27,Martin Guptill,
28,Faulkner,
29,Quetta Gladiators,
30,Shakib,
31,Lahore Qalandars,
32,islamabad united,
33,multan sultans,
34,Colin Munro,
35,Peshawar Zalmi,
36,Bibi Fatima,
37,Favourite Moment,
38,Holy Prophet,
39,Woahhh,
40,fatima tahir,
41,Chris Gayle,
42,Rashid Khan,
43,15th Ramadan,
44,Messenger of Allah,
45,As and A2,
46,Whattt,
47,Bruhhh,
48,jibran nasir,
49,Waqar Zaka,
