,topic,tweet_volume
0,#BTSARMY,1094938.0
1,#방탄소년단,908246.0
2,#BTS_Butter,852393.0
3,Chelsea,213904.0
4,billie,116713.0
5,#Our_Healer_PILDAY,81543.0
6,Fortnite,79914.0
7,Kazuha,76386.0
8,Michael Jackson,65954.0
9,Drake,43217.0
10,#RMACHE,42569.0
11,#ImamHassan,39370.0
12,Hazard,38870.0
13,Y'a R,38202.0
14,La Tribune,34010.0
15,Benzema,30094.0
16,Human Rights Watch,26194.0
17,Piercing,23474.0
18,Guardiola,22979.0
19,Zemmour,20305.0
20,Tuchel,15600.0
21,Werner,14914.0
22,Giroud,12183.0
23,Saken,11867.0
24,Moha,11312.0
25,#militaires,11241.0
26,#EUMASTERS,
27,Normandie,
28,#FranceRelance,
29,#immobilier,
30,#KCORP,
31,Xerath,
32,Ouvrez,
33,Karting,
34,Ziyech,
35,Doctolib,
36,Ice Tea,
37,La Rochelle,
38,Joffrin,
39,France Inter,
40,Marty,
41,#LesJeunesVeulentLeVaccin,
42,#DemainNousAppartient,
43,#TrouDeBalleDansUnTitre,
44,#menumanga,
45,#FamillesNombreuses,
46,#RendezAliceCoffin,
47,#PSGMCI,
48,#TDR2021,
49,#1jeune1solution,
