,topic,tweet_volume
0,#BTSARMY,1120566.0
1,#방탄소년단,925869.0
2,REQUEST,899781.0
3,#BTS_Butter,852410.0
4,China,320483.0
5,Chelsea,257402.0
6,Real Madrid,162759.0
7,Argentina,135197.0
8,billie,124291.0
9,Bayern,116527.0
10,Jean,94521.0
11,#Our_Healer_PILDAY,83004.0
12,Neymar,70295.0
13,Lima,57091.0
14,Jason,54966.0
15,shawn,52339.0
16,Colorado,51931.0
17,QUE HERMOSA,49431.0
18,Marcelo,41779.0
19,Hazard,41680.0
20,Bundesliga,30506.0
21,Don't by eAeon,24488.0
22,Zidane,19732.0
23,Mikasa,18059.0
24,PERCY JACKSON,16587.0
25,j balvin,11827.0
26,#SiElComunismoEntraSeQueda,
27,Javier Prado,
28,Bruno Pinasco,
29,Julio Cotler,
30,El BCR,
31,braian romero,
32,Jaime de Althaus,
33,fernando meza,
34,Largate,
35,Thorndike,
36,Antauro,
37,Piura,
38,Pinochet,
39,daniel urresti,
40,Velarde,
41,rafael rey,
42,Jefferson Farfán,
43,Abimael Guzmán,
44,Defensa y Justicia,
45,Pasco,
46,FONAVI,
47,Willax,
48,Pucallpa,
49,Chiqui,
