,topic,tweet_volume
0,#BTSARMY,1109896.0
1,#방탄소년단,918893.0
2,#BTS_Butter,829428.0
3,TikTok,613516.0
4,Seventeen,323128.0
5,Chelsea,278003.0
6,renjun,235757.0
7,jisung,210264.0
8,Apex,199171.0
9,Beauty,191779.0
10,Real Madrid,178669.0
11,Smart,168534.0
12,taylor,160221.0
13,Neelofa,130086.0
14,billie,122258.0
15,Anna,120198.0
16,Yuki,116469.0
17,Wonpil,113700.0
18,wonwoo,108966.0
19,Santa,107080.0
20,#우리의봄_원필아_생일축하해,94388.0
21,Hang,80385.0
22,PayPal,73486.0
23,Spaces,69785.0
24,felix,63777.0
25,Fazura,60461.0
26,Olivia,53806.0
27,woozi,48232.0
28,Ronaldo,48056.0
29,DO IT LIKE ITZY,47301.0
30,Season 2,43517.0
31,Danny,41896.0
32,Hazard,41263.0
33,Theo,37878.0
34,kelantan,37097.0
35,cheol,32510.0
36,wonho,31417.0
37,riri,23157.0
38,Hank,21003.0
39,Werner,18535.0
40,riki,15119.0
41,youngk,14840.0
42,Arin,11475.0
43,moonbin,11409.0
44,Yixing,10492.0
45,sunggyu,
46,jaehwan,
47,Oh Allah,
48,Toby,
