,topic,tweet_volume
0,#방탄소년단,925869.0
1,#BTS_Butter,851892.0
2,Tucker Carlson,174778.0
3,Real Madrid,162104.0
4,billie,124291.0
5,Fox News,122944.0
6,Flowers,87833.0
7,The CDC,65932.0
8,Fields,60163.0
9,Willow,57005.0
10,Sega,43004.0
11,Marcelo,41779.0
12,Big Tech,22016.0
13,Mario Party,20753.0
14,New CDC,19334.0
15,Rose McGowan,18621.0
16,aaron taylor johnson,18307.0
17,PERCY JACKSON,16587.0
18,#MichaelJacksonWasFramed,15835.0
19,SNKRS,14605.0
20,Pulisic,13274.0
21,Babe Ruth,12878.0
22,Joe Rogan,10567.0
23,#WhyImSingle,
24,Real ID,
25,#YIAYgame,
26,Steve Harvey,
27,Lightning McQueen crocs,
28,Fear Factor,
29,James Carville,
30,Chris Simms,
31,annabeth,
32,Azpi,
33,Nick Fuentes,
34,Miitopia,
35,Newsradio,
36,Flintstones,
37,Victor Hill,
38,Thanks CDC,
39,logan lerman,
40,Pioneer League,
41,Sewell,
42,rick riordan,
43,Chelsea Green,
44,Scherff,
45,Hank Aaron,
46,Xerath,
